Heap Info: length: 2228184 flags: 5
HHeap Stats: nUsedNodes:10006 nFreeNodes:-1531 nCalls:(M:11355173 R:1485618 F:11345167) nBytes:-2407776
Timing:(M:14273776 R:1312643 F:369350)
ptr  len  isfree
0x0xc18350 64 0
0x0xc18390 48 0
0x0xc183c0 48 0
0x0xc183f0 48 0
0x0xc18420 48 0
0x0xc18450 48 0
0x0xc18480 16 1
0x0xc18490 64 0
0x0xc184d0 64 0
0x0xc18510 224 0
0x0xc185f0 80 0
0x0xc18640 48 0
0x0xc18670 64 0
0x0xc186b0 64 0
0x0xc186f0 56 0
0x0xc18728 88 0
0x0xc18780 64 0
0x0xc187c0 136 0
0x0xc18848 32 0
0x0xc18868 80 0
0x0xc188b8 24 1
0x0xc188d0 64 0
0x0xc18910 56 0
0x0xc18948 64 0
0x0xc18988 400 0
0x0xc18b18 48 0
0x0xc18b48 16 1
0x0xc18b58 40 0
0x0xc18b80 64 0
0x0xc18bc0 72 0
0x0xc18c08 48 0
0x0xc18c38 56 0
0x0xc18c70 64 0
0x0xc18cb0 56 0
0x0xc18ce8 56 0
0x0xc18d20 552 0
0x0xc18f48 544 0
0x0xc19168 120 0
0x0xc191e0 64 0
0x0xc19220 32 0
0x0xc19240 48 0
0x0xc19270 56 0
0x0xc192a8 24 0
0x0xc192c0 24 1
0x0xc192d8 48 0
0x0xc19308 56 0
0x0xc19340 160 0
0x0xc193e0 240 0
0x0xc194d0 152 0
0x0xc19568 40 0
0x0xc19590 56 0
0x0xc195c8 64 0
0x0xc19608 16 1
0x0xc19618 48 0
0x0xc19648 56 0
0x0xc19680 72 0
0x0xc196c8 64 0
0x0xc19708 104 0
0x0xc19770 32 0
0x0xc19790 64 0
0x0xc197d0 64 0
0x0xc19810 64 0
0x0xc19850 64 0
0x0xc19890 24 0
0x0xc198a8 32 0
0x0xc198c8 16 1
0x0xc198d8 48 0
0x0xc19908 64 0
0x0xc19948 64 0
0x0xc19988 104 0
0x0xc199f0 48 0
0x0xc19a20 40 0
0x0xc19a48 64 0
0x0xc19a88 120 0
0x0xc19b00 32 0
0x0xc19b20 24 1
0x0xc19b38 64 0
0x0xc19b78 496 0
0x0xc19d68 536 0
0x0xc19f80 64 0
0x0xc19fc0 64 0
0x0xc1a000 24 0
0x0xc1a018 496 0
0x0xc1a208 64 0
0x0xc1a248 32 0
